eta,chi_mean,chi_error,N
5.074684,0.793591,0.050989,300
5.085443,0.689426,0.036595,300
5.096203,0.701881,0.026764,300
5.106962,0.686073,0.031386,300
5.117722,0.679496,0.020269,300
5.128481,0.685079,0.028018,300
5.139241,0.678361,0.024244,300
5.150000,0.667010,0.033722,300
4.750000,1.317438,0.098132,300
4.760759,1.109852,0.069263,300
4.771519,1.215363,0.102767,300
4.782278,1.098404,0.082446,300
4.793038,1.097280,0.046550,300
4.803797,1.194196,0.076949,300
4.814557,1.207785,0.097461,300
4.825316,1.264894,0.084183,300
4.836076,1.202747,0.106831,300
4.846835,1.029025,0.070686,300
4.857595,1.012904,0.111486,300
4.868354,0.982536,0.084751,300
4.879114,1.084536,0.126864,300
4.889873,1.184839,0.066030,300
4.900633,1.090281,0.062239,300
4.911392,1.068823,0.047537,300
4.922152,0.957195,0.030002,300
4.932911,0.967882,0.015990,300
4.943671,0.862626,0.063016,300
4.954430,0.881439,0.045277,300
4.965190,0.854216,0.063943,300
4.975949,0.882761,0.029480,300
4.986709,0.864122,0.042502,300
4.997468,0.875871,0.061705,300
5.008228,0.849695,0.024269,300
5.018987,0.879163,0.013480,300
5.029747,0.812631,0.047745,300
5.040506,0.816432,0.041318,300
5.051266,0.777742,0.036573,300
5.062025,0.766320,0.073928,300
5.072785,0.747564,0.041809,300
5.083544,0.706709,0.020360,300
5.094304,0.679243,0.021262,300
5.105063,0.639137,0.024230,300
5.115823,0.666742,0.056762,300
5.126582,0.632719,0.031326,300
5.137342,0.641541,0.042907,300
5.148101,0.580119,0.034476,300
5.158861,0.714079,0.053165,300
5.169620,0.592810,0.036553,300
5.180380,0.608485,0.018699,300
5.191139,0.574685,0.026869,300
5.201899,0.515924,0.024261,300
5.212658,0.543498,0.012624,300
5.223418,0.479578,0.006253,300
5.234177,0.542649,0.023427,300
5.244937,0.520140,0.052003,300
5.255696,0.482211,0.018906,300
5.266456,0.501768,0.025397,300
5.277215,0.478556,0.016084,300
5.287975,0.477334,0.029967,300
5.298734,0.458051,0.018308,300
5.309494,0.450384,0.015492,300
5.320253,0.428713,0.023769,300
5.331013,0.418791,0.010022,300
5.341772,0.449609,0.014002,300
5.352532,0.409693,0.027893,300
5.363291,0.402532,0.028174,300
5.374051,0.382721,0.020762,300
5.384810,0.392330,0.017138,300
5.395570,0.384475,0.014377,300
5.406329,0.385510,0.021368,300
5.417089,0.388012,0.016589,300
5.427848,0.364066,0.007846,300
5.438608,0.391726,0.019515,300
5.449367,0.372717,0.013805,300
5.460127,0.373439,0.008498,300
5.470886,0.365218,0.022775,300
5.481646,0.381176,0.020597,300
5.492405,0.348841,0.008439,300
5.503165,0.336140,0.024834,300
5.513924,0.358287,0.015624,300
5.524684,0.349450,0.013993,300
5.535443,0.338692,0.017975,300
5.546203,0.318931,0.007712,300
5.556962,0.338338,0.018034,300
5.567722,0.315262,0.014390,300
5.578481,0.287281,0.011083,300
5.589241,0.313843,0.022661,300
5.600000,0.283572,0.012879,300
4.400000,0.809051,0.089938,300
4.426316,0.704410,0.045702,300
4.452632,0.749834,0.070927,300
4.478947,0.650528,0.076771,300
4.505263,0.877001,0.287257,300
4.531579,0.835835,0.069066,300
4.557895,0.872386,0.050869,300
4.584211,0.996469,0.139074,300
4.610526,1.026478,0.068894,300
4.636842,1.159878,0.197506,300
4.663158,1.210274,0.072866,300
4.689474,1.018289,0.060863,300
4.715789,0.982731,0.126247,300
4.742105,0.876414,0.069178,300
4.768421,1.101730,0.097897,300
4.794737,1.155294,0.024294,300
4.821053,1.056542,0.085728,300
4.847368,1.071912,0.044534,300
4.873684,1.100594,0.039401,300
4.900000,1.083805,0.050191,300
0.000000,0.000000,0.000000,300
1.375000,0.008593,0.000749,300
2.750000,0.100771,0.005064,300
4.125000,0.453193,0.072948,300
5.500000,0.337118,0.010858,300
0.000000,0.000000,0.000000,300
0.392857,0.000057,0.000003,300
0.785714,0.000927,0.000040,300
1.178571,0.004245,0.000170,300
1.571429,0.013947,0.000508,300
1.964286,0.033622,0.002428,300
2.357143,0.061451,0.001344,300
2.750000,0.106213,0.005916,300
3.142857,0.183995,0.013944,300
3.535714,0.279605,0.018666,300
3.928571,0.400122,0.020863,300
4.321429,0.648742,0.057347,300
4.714286,1.029435,0.038365,300
5.107143,0.756713,0.038880,300
5.500000,0.313673,0.019689,300
4.000000,0.363101,0.024809,300
0.000000,0.000000,0.000000,300
0.392857,0.000059,0.000004,300
0.785714,0.000907,0.000042,300
1.178571,0.004632,0.000449,300
1.571429,0.012498,0.000349,300
1.964286,0.031871,0.001437,300
2.357143,0.077019,0.008434,300
2.750000,0.126154,0.014272,300
3.142857,0.161240,0.007327,300
3.535714,0.276419,0.023277,300
3.928571,0.394139,0.024182,300
4.321429,0.575275,0.029184,300
4.714286,1.162133,0.134938,300
5.107143,0.695318,0.023944,300
5.500000,0.359853,0.014754,300
